abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
;;;;EXPIN;AUGUCILLIN;;;;Ass Puren;;;;;;;;;;;;;;;;;;;Pro-Dexamethasone;;;Pediaclear Cough;;;;;;;;;;;;;;;;;;Vicotuss;;;;;;;;;LIDOPLAST;;;;;;;;;;;;;;;;;;;;;;;Tanni-Hist 12 RF;;;;;ALVIRO;;;;;;;;;Zamadol;;;;;;;;
;;;;TELMISTA X;CLACILLIN NEO;;;;Ass Stada;;;;;;;;;;;;;;;;;;;Phl-Dexamethasone;;;Robitussin Night Time Cough & Chest Congestion;;;;;;;;;;;;;;;;;;Extendryl HC;;;;;;;;;LIDOPRIL;;;;;;;;;;;;;;;;;;;;;;;Rhinall;;;;;BISONE;;;;;;;;;Zamadol SR;;;;;;;;
;;;;TERDIPINE;CLAMO;;;;Ass Tad;;;;;;;;;;;;;;;;;;;Pms-Dexamethasone;;;Tekral;;;;;;;;;;;;;;;;;;Hydro-Tussin HG;;;;;;;;;PCAINE;;;;;;;;;;;;;;;;;;;;;;;Tussafed EX;;;;;EDIS D;;;;;;;;;Tramalgin;;;;;;;;
;;;;TESARBI;CLAMONEX OTIN;;;;Axea Paracetamol;;;;;;;;;;;;;;;;;;;Odan-Trol;;;Theraflu Nighttime Severe Cold & Cough;;;;;;;;;;;;;;;;;;MonteFlu HC;;;;;;;;;PRIDOCAINE;;;;;;;;;;;;;;;;;;;;;;;De-Chlor G;;;;;ELTIDINE;;;;;;;;;Ultram;;;;;;;;
;;;;TWINHIT;CLAMOXEN;;;;Clopidogrel Abz;;;;;;;;;;;;;;;;;;;Septomixine Forte;;;Airacof;;;;;;;;;;;;;;;;;;Flutuss XP;;;;;;;;;RIFRIL;;;;;;;;;;;;;;;;;;;;;;;Tussi-12D;;;;;GADIN;;;;;;;;;Oldaram;;;;;;;;
;;;;TWINTERA;CLAMOXEN DUO;;;;Die Jaenisch Apotheken Paracetamol;;;;;;;;;;;;;;;;;;;Sandoz Opticort;;;Theraflu Warming Relief;;;;;;;;;;;;;;;;;;Narcof;;;;;;;;;SINSIN LIDOPAIN;;;;;;;;;;;;;;;;;;;;;;;Atuss MR;;;;;GLOBIS;;;;;;;;;Zamadol Melt;;;;;;;;
;;;;TWYNPLUS;CLAMOXEN NEO;;;;Dolevar;;;;;;;;;;;;;;;;;;;;;;Wal-Flu Severe Cold and Cough;;;;;;;;;;;;;;;;;;Mintuss MS;;;;;;;;;SUNGKWANG RIDOAR;;;;;;;;;;;;;;;;;;;;;;;Numonyl;;;;;HUNITIN;;;;;;;;;Tramacet;;;;;;;;
;;;;UNIBESYL;COEUN;;;;Dolopyrin Al;;;;;;;;;;;;;;;;;;;;;;Compoz;;;;;;;;;;;;;;;;;;Liquicough HC;;;;;;;;;XILONIBSA;;;;;;;;;;;;;;;;;;;;;;;Uni Hist PDX;;;;;I RANITIDINE;;;;;;;;;Marol;;;;;;;;
;;;;VALADIPINE;CRACIZEN DUO;;;;Disko-Ass;;;;;;;;;;;;;;;;;;;;;;Percogesic Reformulated Jan 2011;;;;;;;;;;;;;;;;;;Exetuss HC;;;;;;;;;Pliaglis;;;;;;;;;;;;;;;;;;;;;;;Amerituss AD;;;;;WIBIS;;;;;;;;;Maneo;;;;;;;;
;;;;VALSAPIN;CROANAN DUO;;;;Cervopyrin;;;;;;;;;;;;;;;;;;;;;;Wal-Dryl;;;;;;;;;;;;;;;;;;Relasin HC;;;;;;;;;Zingo;;;;;;;;;;;;;;;;;;;;;;;C-Tanna 12D;;;;;WITH D;;;;;;;;;Dromadol;;;;;;;;
;;;;V-FORGE;CURAMUS;;;;Godamed;;;;;;;;;;;;;;;;;;;;;;Wal-Dryl-D;;;;;;;;;;;;;;;;;;Poly Hist HC;;;;;;;;;Xylocaine with Epinephrine;;;;;;;;;;;;;;;;;;;;;;;Poly Hist PD;;;;;ZAN-Q 75;;;;;;;;;Tradorec XL;;;;;;;;
;;;;Z-TENSION;CURAMUS DUO;;;;Gpa-Paracetamol;;;;;;;;;;;;;;;;;;;;;;Calohist;;;;;;;;;;;;;;;;;;Drotuss CP;;;;;;;;;Peranex;;;;;;;;;;;;;;;;;;;;;;;V-Tan DM;;;;;ZENITIN;;;;;;;;;Tramquel SR;;;;;;;;
;;;;TWOTOPS PLUS;CURAMUS NEO;;;;Grippex;;;;;;;;;;;;;;;;;;;;;;Caldyphen with Antihistamine;;;;;;;;;;;;;;;;;;ExeClear;;;;;;;;;Lidocream;;;;;;;;;;;;;;;;;;;;;;;Vistuss;;;;;ZYNIQ;;;;;;;;;Onetram;;;;;;;;
;;;;VALSAPINE;DUCRA DUO;;;;Gripphexal;;;;;;;;;;;;;;;;;;;;;;Wal-Dryl Allergy;;;;;;;;;;;;;;;;;;Nariz HC;;;;;;;;;Anamantle HC;;;;;;;;;;;;;;;;;;;;;;;Guiaplex HC;;;;;UNIBIS D;;;;;;;;;TRAMADOL/PARACETAMOL BIPHAR;;;;;;;;
;;;;VDIPINE;HYCRA DUO;;;;Helm;;;;;;;;;;;;;;;;;;;;;;Wal-Phed PE Severe Cold;;;;;;;;;;;;;;;;;;Z-Cof HCX;;;;;;;;;Lidocort;;;;;;;;;;;;;;;;;;;;;;;Deconhist;;;;;WIBIS D;;;;;;;;;SKUDEXUM;;;;;;;;
;;;;VERSACHE;JENIMAX;;;;Hermasalin;;;;;;;;;;;;;;;;;;;;;;Wal-Som Maximum Strength;;;;;;;;;;;;;;;;;;Tussafed-HC;;;;;;;;;Lidomar;;;;;;;;;;;;;;;;;;;;;;;Baltussin;;;;;ZANSTA;;;;;;;;;Qimanding;;;;;;;;
;;;;X-LOTAN;LAMOCLA DUO;;;;Herzass-Ratiopharm;;;;;;;;;;;;;;;;;;;;;;HC Derma-Pax;;;;;;;;;;;;;;;;;;De-Chlor MR;;;;;;;;;Xylocard;;;;;;;;;;;;;;;;;;;;;;;Redur-PCM;;;;;NEXINA D;;;;;;;;;Qutongkang;;;;;;;;
;;;;YUNGJIN AMLODIPINE;MOXIBLE NEO;;;;Logomed Fieber-Zaepfchen;;;;;;;;;;;;;;;;;;;;;;Benekraft;;;;;;;;;;;;;;;;;;Triant-HC;;;;;;;;;Solarcaine;;;;;;;;;;;;;;;;;;;;;;;P-Hist;;;;;RABIONE;;;;;;;;;Antian;;;;;;;;
;;;;KAIROPINE;MOXICLAN DUO;;;;Ortoton;;;;;;;;;;;;;;;;;;;;;;Bayer Select Night Time Pain;;;;;;;;;;;;;;;;;;NUDAL HD;;;;;;;;;Duocaine;;;;;;;;;;;;;;;;;;;;;;;Benadryl-D Allergy and Sinus;;;;;RABITRA;;;;;;;;;Yutong;;;;;;;;
;;;;LODIVIKAR;MOXICRAN;;;;Para-Caf;;;;;;;;;;;;;;;;;;;;;;Siladyl;;;;;;;;;;;;;;;;;;Marcof;;;;;;;;;Mylocaine;;;;;;;;;;;;;;;;;;;;;;;Pediacare Infants Decongestant;;;;;RACIDINE;;;;;;;;;Timaer;;;;;;;;
;;;;LOMERTAN;MOXITAM;;;;Paracet Pcm Bene;;;;;;;;;;;;;;;;;;;;;;Unisom Sleep;;;;;;;;;;;;;;;;;;Tyrodone Expectorant;;;;;;;;;Lidamantle HC;;;;;;;;;;;;;;;;;;;;;;;Tylenol Cold Infants Reformulated Jun 2007;;;;;RANIBIS;;;;;;;;;Jitongan;;;;;;;;
;;;;LOWFORGE;NEWMOKCRA;;;;Paracet-I-Med 125;;;;;;;;;;;;;;;;;;;;;;Nytol;;;;;;;;;;;;;;;;;;M Clear Jr;;;;;;;;;Truxacaine;;;;;;;;;;;;;;;;;;;;;;;Cardec Drops Reformulated Jun 2007;;;;;RANIKING;;;;;;;;;Qizhi;;;;;;;;
;;;;MELODIPINE-S;NEWMOKCRA DUO;;;;Paracet-I-Med 250;;;;;;;;;;;;;;;;;;;;;;Midol PM Reformulated Apr 2011;;;;;;;;;;;;;;;;;;FluTuss HC;;;;;;;;;LidaMantle;;;;;;;;;;;;;;;;;;;;;;;Benadryl Severe Allergy Sinus Headache Reformulated Jun 2007;;;;;RANITIDINE PHARMAKING;;;;;;;;;Fengtongding;;;;;;;;
;;;;NEWDROPINE;OMETIN NEO;;;;Paracet-I-Med 500;;;;;;;;;;;;;;;;;;;;;;Panadol PM;;;;;;;;;;;;;;;;;;Pediatex HC;;;;;;;;;Zilactin-L;;;;;;;;;;;;;;;;;;;;;;;Phena-HC;;;;;RANITINA;;;;;;;;;Bingning;;;;;;;;
;;;;NEXDIPINE;PLEMING;;;;Paracetamol + Coffein Galpharm;;;;;;;;;;;;;;;;;;;;;;Rest Simply;;;;;;;;;;;;;;;;;;Atuss HX;;;;;;;;;Senatec;;;;;;;;;;;;;;;;;;;;;;;Brom Tann PE;;;;;RANIZAN;;;;;;;;;Maidaomalong;;;;;;;;
;;;;NOMA S;PLEMING DUO;;;;Ostendpyrin;;;;;;;;;;;;;;;;;;;;;;Counteract Night;;;;;;;;;;;;;;;;;;Quintex HS;;;;;;;;;EMLA;;;;;;;;;;;;;;;;;;;;;;;Balacall DM;;;;;TINOQ;;;;;;;;;Quming;;;;;;;;
;;;;NORVALOC;PLEMING NEO;;;;Paracetamol 500 Fair-Med;;;;;;;;;;;;;;;;;;;;;;Acetadryl;;;;;;;;;;;;;;;;;;M-End Max;;;;;;;;;Pro Vent Plus;;;;;;;;;;;;;;;;;;;;;;;Zicam Cold and Flu Daytime;;;;;TRIBIS;;;;;;;;;Yibang;;;;;;;;
;;;;NOVACAN;SINCLAMOK;;;;Paracetamol 500 Hubertus Apotheke;;;;;;;;;;;;;;;;;;;;;;Rx-Act Flu & Severe Cold & Cough;;;;;;;;;;;;;;;;;;Quala HC;;;;;;;;;Lidosite;;;;;;;;;;;;;;;;;;;;;;;Rynesa;;;;;WESUBI;;;;;;;;;Leshipukang;;;;;;;;
;;;;NOVAPIN;SULPIBACTAM;;;;Paracetamol Ap Saft;;;;;;;;;;;;;;;;;;;;;;Rx-Act Pain Relief PM;;;;;;;;;;;;;;;;;;Baltussin HC;;;;;;;;;Rectacreame;;;;;;;;;;;;;;;;;;;;;;;Brovex PB;;;;;WONTAC;;;;;;;;;Trapadex;;;;;;;;
;;;;OCTADIPINE;SULTAMON;;;;Paracetamol Axcount;;;;;;;;;;;;;;;;;;;;;;Onetab Cold and Flu;;;;;;;;;;;;;;;;;;M Clear Jr Reformulated Oct 2007;;;;;;;;;Lignostab-A;;;;;;;;;;;;;;;;;;;;;;;Brovex PBC;;;;;WOORIDUL RANITIDINE HCL;;;;;;;;;Algotra;;;;;;;;
;;;;OLESC;A-CLAN NEO;;;;Paracetamol Basi;;;;;;;;;;;;;;;;;;;;;;Wal-Dryl Severe Allergy & Sinus;;;;;;;;;;;;;;;;;;Triaminic Expectorant DH;;;;;;;;;Savlon;;;;;;;;;;;;;;;;;;;;;;;Brovex PBD;;;;;AZANTAC;;;;;;;;;Pontalsic;;;;;;;;
;;;;OLOTENSION;A-CRAN DUO;;;;Paracetamol Bristol-Myers Squibb;;;;;;;;;;;;;;;;;;;;;;Lunox;;;;;;;;;;;;;;;;;;ZTuss;;;;;;;;;Woodward's;;;;;;;;;;;;;;;;;;;;;;;Liquibid DR;;;;;RANITIDINE ARROW;;;;;;;;;Rybix;;;;;;;;
;;;;PAMICA;Almodan;;;;Paracetamol Denk;;;;;;;;;;;;;;;;;;;;;;Nightcalm;;;;;;;;;;;;;;;;;;Hydrocof-HC;;;;;;;;;Strepsils;;;;;;;;;;;;;;;;;;;;;;;Liquibid PDR;;;;;RANITIDINE BIOGARAN;;;;;;;;;Brimisol PR;;;;;;;;
;;;;ROVATO;Amix;;;;Paracetamol Dura;;;;;;;;;;;;;;;;;;;;;;Anaesthecomp;;;;;;;;;;;;;;;;;;Liquitussin HC;;;;;;;;;Soothake;;;;;;;;;;;;;;;;;;;;;;;Sine-Off Sinus and Cold;;;;;RANITIDINE EG;;;;;;;;;Jutadol;;;;;;;;
;;;;S-AMPIN;Amrit;;;;Paracetamol Gsk;;;;;;;;;;;;;;;;;;;;;;Asthmastop;;;;;;;;;;;;;;;;;;Echotuss-HC;;;;;;;;;Haemorrhoid Relief;;;;;;;;;;;;;;;;;;;;;;;Sine-Off Maximum Strength Reformulated Sep 2008;;;;;RANITIDINE QUALIMED;;;;;;;;;Mtw Tramadol;;;;;;;;
;;;;SEROCAR;Galenamox;;;;Paracetamol Hikma;;;;;;;;;;;;;;;;;;;;;;Betadorm D;;;;;;;;;;;;;;;;;;Hycodan;;;;;;;;;Germoloids;;;;;;;;;;;;;;;;;;;;;;;Allerx Reformulated Oct 2008;;;;;RANITIDINE RANBAXY;;;;;;;;;T Long;;;;;;;;
;;;;SEVIKAR HCT;Rimoxallin;;;;Paracetamol Saft Hexal;;;;;;;;;;;;;;;;;;;;;;Befelka;;;;;;;;;;;;;;;;;;Zutripro;;;;;;;;;Dequa;;;;;;;;;;;;;;;;;;;;;;;Aquatab C Reformulated Oct 2008;;;;;RANITIDINE RATIOPHARM;;;;;;;;;Tramagetic;;;;;;;;
;;;;SEVISTAR;Zoxycil;;;;Paracetamol Salinen-Apotheke;;;;;;;;;;;;;;;;;;;;;;Bronchisan;;;;;;;;;;;;;;;;;;Rezira;;;;;;;;;Hemocane;;;;;;;;;;;;;;;;;;;;;;;AlleRx PM Reformulated Apr 2008;;;;;RANITIDINE SANDOZ;;;;;;;;;Travex;;;;;;;;
;;;;SKAD;amopen;;;;Paedol;;;;;;;;;;;;;;;;;;;;;;Boxocalm;;;;;;;;;;;;;;;;;;HYCODONE;;;;;;;;;Care Haemorrhoid Relief;;;;;;;;;;;;;;;;;;;;;;;Beechams Cold & Flu;;;;;RANITIDINE ZENTIVA;;;;;;;;;Tramamerck;;;;;;;;
;;;;TELMILOPINE;Amoxicot;;;;Neuralgin Schmerztabletten;;;;;;;;;;;;;;;;;;;;;;Dabylen Asthma;;;;;;;;;;;;;;;;;;Panasal;;;;;;;;;Polyfusor LG;;;;;;;;;;;;;;;;;;;;;;;Boots Maximum Strength Cold & Flu Relief Direct Dose Blackcurrant;;;;;Acid And Heartburn Relief;;;;;;;;;Tramawieb;;;;;;;;
;;;;TELMITOSTA;Amoxil;;;;Mono Praecimed;;;;;;;;;;;;;;;;;;;;;;Diphenhydramin Fair Med;;;;;;;;;;;;;;;;;;Alor;;;;;;;;;Depo-Medrone;;;;;;;;;;;;;;;;;;;;;;;Mydriasert;;;;;Gastrogel-Ranitidine;;;;;;;;;Tramadol Biomo;;;;;;;;
;;;;TELPINSTAR;Amoxil Fiztab;;;;Migraene Neuridal;;;;;;;;;;;;;;;;;;;;;;Diphenhydramin Prk;;;;;;;;;;;;;;;;;;Vituz;;;;;;;;;Boots Anaesthetic Sore Throat Relief;;;;;;;;;;;;;;;;;;;;;;;Cold and Flu Relief;;;;;Heartburn And Acid Indigestion Relief;;;;;;;;;Tramadol Ct;;;;;;;;
;;;;TWINCURE;Trimox;;;;Migralave + Mcp;;;;;;;;;;;;;;;;;;;;;;Diabenyl;;;;;;;;;;;;;;;;;;Caldomine Dh;;;;;;;;;Perinal;;;;;;;;;;;;;;;;;;;;;;;Lloydspharmacy Max Strength Cold and Flu Relief;;;;;Rani-2;;;;;;;;;Tramadol Gruenenthal;;;;;;;;
;;;;UNASARTAN;Moxilin;;;;Saridon N;;;;;;;;;;;;;;;;;;;;;;Dentigoa;;;;;;;;;;;;;;;;;;Caldomine Dh Enfant;;;;;;;;;Versatis;;;;;;;;;;;;;;;;;;;;;;;Boots Ultra Cold & Flu Relief All in One;;;;;Ranihexal;;;;;;;;;Tramadol Heumann;;;;;;;;
;;;;VARDIPINE;Amoxicillinan;;;;Sanocapt;;;;;;;;;;;;;;;;;;;;;;Dormigoa;;;;;;;;;;;;;;;;;;Novahistex Dh;;;;;;;;;Neriza;;;;;;;;;;;;;;;;;;;;;;;Numark Max-Strength Sinus Relief;;;;;Ranital Forte;;;;;;;;;Tramadol Pb;;;;;;;;
;;;;AXELER;Amoclan;;;;Usambramed N;;;;;;;;;;;;;;;;;;;;;;Dormo;;;;;;;;;;;;;;;;;;Ibucodone;;;;;;;;;Borraza;;;;;;;;;;;;;;;;;;;;;;;Benylin Mucus Cough;;;;;Ranitidine Forte;;;;;;;;;Tramadol Q;;;;;;;;
;;;;COVERAM;Co-amoxiclav;;;;Vivimed;;;;;;;;;;;;;;;;;;;;;;Docpelin Nachtsterne;;;;;;;;;;;;;;;;;;Robidone;;;;;;;;;Penles;;;;;;;;;;;;;;;;;;;;;;;Paramed Max Strength Cold and Flu Relief;;;;;Ranitidin Abz;;;;;;;;;Tramadol Rotexmedica;;;;;;;;
;;;;AMLODIPINE ALMUS;Amoxident;;;;Tramabian;;;;;;;;;;;;;;;;;;;;;;Emesan;;;;;;;;;;;;;;;;;;Ratio-Calmydone;;;;;;;;;Burn Jel;;;;;;;;;;;;;;;;;;;;;;;Boots Sinus Dual Relief;;;;;Ranitidin Al;;;;;;;;;Tramadol Temmler;;;;;;;;
;;;;AMLODIPINE ALTER;HeliCl;;;;Talvosilen;;;;;;;;;;;;;;;;;;;;;;Grippostad;;;;;;;;;;;;;;;;;;Vasofrinic;;;;;;;;;Satohap Pain Relieving;;;;;;;;;;;;;;;;;;;;;;;Covonia;;;;;Ranitidin Atid;;;;;;;;;Tramadol Vem;;;;;;;;
;;;;AMLODIPINE CRISTERS;Amolin;;;;Temagin Pac;;;;;;;;;;;;;;;;;;;;;;Insekten;;;;;;;;;;;;;;;;;;Verdrocet;;;;;;;;;Satohap Lidocaine;;;;;;;;;;;;;;;;;;;;;;;Lloydspharmacy Cold Relief;;;;;Ranitidin Axcount;;;;;;;;;Trace;;;;;;;;
;;;;AMLODIPINE EVOLUGEN;Sawacillin;;;;Temagin-Paracetamol-Plus;;;;;;;;;;;;;;;;;;;;;;Keldrin;;;;;;;;;;;;;;;;;;Obredon;;;;;;;;;Mericaine Reformulated Oct 2015;;;;;;;;;;;;;;;;;;;;;;;Beechams Max Strength All In One;;;;;Ranitidin Heumann;;;;;;;;;Tradol Puren;;;;;;;;
;;;;AMLODIPINE ISOMED;Yisalin;;;;Theracomplex Erkaeltung & Husten Sirup;;;;;;;;;;;;;;;;;;;;;;Logomed Beruhigung;;;;;;;;;;;;;;;;;;;;;;;;;;;RectiCare Advanced Wipes;;;;;;;;;;;;;;;;;;;;;;;Sudafed Mucus Relief;;;;;Ranitidin W 300;;;;;;;;;Trama Basf;;;;;;;;
;;;;AMLODIPINE QUALIMED;Zailin;;;;Titralgan;;;;;;;;;;;;;;;;;;;;;;Lomapect;;;;;;;;;;;;;;;;;;;;;;;;;;;Doans Pain Relieving;;;;;;;;;;;;;;;;;;;;;;;Boots Maximum Strength Cold & Flu Relief Direct Dose Lemon;;;;;Zantic;;;;;;;;;Trama Dorsch;;;;;;;;
;;;;AMLODIPINE RANBAXY;Shuxianlin;;;;Titretta;;;;;;;;;;;;;;;;;;;;;;Meta Attritin;;;;;;;;;;;;;;;;;;;;;;;;;;;Epilido;;;;;;;;;;;;;;;;;;;;;;;Beechams Breathe Cl Hot Honey & Lemon Menthol Flavour;;;;;Act Ranitidine;;;;;;;;;Trama Kd;;;;;;;;
;;;;AMLODIPINE SANDOZ;Libaiting;;;;Togal Kombi;;;;;;;;;;;;;;;;;;;;;;Medapur;;;;;;;;;;;;;;;;;;;;;;;;;;;Yabing;;;;;;;;;;;;;;;;;;;;;;;Max Strength Decongestant;;;;;Dom-Ranitidine;;;;;;;;;Trama Sanorania;;;;;;;;
;;;;AMLODIPINE ZENTIVA;Amoxian;;;;Togal Paracetamol;;;;;;;;;;;;;;;;;;;;;;Moradorm;;;;;;;;;;;;;;;;;;;;;;;;;;;Yuluoshu;;;;;;;;;;;;;;;;;;;;;;;Beechams All-In-One;;;;;Pms-Ranitidine;;;;;;;;;Tramadol 1a Pharma;;;;;;;;
;;;;AMLOR;Laideyi;;;;Togal Seltzer Ass;;;;;;;;;;;;;;;;;;;;;;Novo Dolestan;;;;;;;;;;;;;;;;;;;;;;;;;;;Enna;;;;;;;;;;;;;;;;;;;;;;;Olbas;;;;;Ran-Ranitidine;;;;;;;;;ATRA SEMY;;;;;;;;
;;;;NATRIXAM;Tefumeng;;;;Thomapyrin Medium;;;;;;;;;;;;;;;;;;;;;;Palacril;;;;;;;;;;;;;;;;;;;;;;;;;;;Aoerfen;;;;;;;;;;;;;;;;;;;;;;;Paramed Cold Relief;;;;;Nu-Ranit;;;;;;;;;ATRACOOL;;;;;;;;
;;;;Amline;Anqi;;;;Tomass;;;;;;;;;;;;;;;;;;;;;;Plantival;;;;;;;;;;;;;;;;;;;;;;;;;;;Gold Bond Medicated Pain and Itch Relief;;;;;;;;;;;;;;;;;;;;;;;Boots Flu-Max-All-In-One;;;;;Zantac Maximum Strength;;;;;;;;;ACCETRA;;;;;;;;
;;;;Cadatin;Talicia;;;;Spalt Schmerztabletten;;;;;;;;;;;;;;;;;;;;;;Pellisal;;;;;;;;;;;;;;;;;;;;;;;;;;;Emerxil;;;;;;;;;;;;;;;;;;;;;;;Robitussin Chesty Cough;;;;;Scheinpharm Ranitidine;;;;;;;;;ACERANO SEMI;;;;;;;;
;;;;Cadivast;Amoxi Drop;;;;Acetylsalicylic Acid Stomach Protection;;;;;;;;;;;;;;;;;;;;;;Pellit;;;;;;;;;;;;;;;;;;;;;;;;;;;Linisol;;;;;;;;;;;;;;;;;;;;;;;Uniflu;;;;;;;;;;;;;;ACETADOL;;;;;;;;
;;;;Norvapine;Clavamox;;;;Arco Pain;;;;;;;;;;;;;;;;;;;;;;Psilo;;;;;;;;;;;;;;;;;;;;;;;;;;;Hemosedan;;;;;;;;;;;;;;;;;;;;;;;Lloydspharmacy n-Drowsy Decongestant with Paracetamol;;;;;;;;;;;;;;AMITRAM SEMI;;;;;;;;
;;;;Reaptan;Augmentin-Duo;;;;Aspirin Extra Strength;;;;;;;;;;;;;;;;;;;;;;Roewo;;;;;;;;;;;;;;;;;;;;;;;;;;;Oro Rhinathiol;;;;;;;;;;;;;;;;;;;;;;;Sudafed Sinus Max Strength;;;;;;;;;;;;;;ARAPHEN;;;;;;;;
;;;;Exforge HCT;Abiclav;;;;Aspirin Migraine;;;;;;;;;;;;;;;;;;;;;;Schlafetten Wepa;;;;;;;;;;;;;;;;;;;;;;;;;;;Otocalmine;;;;;;;;;;;;;;;;;;;;;;;Contac;;;;;;;;;;;;;;CETADOL SEMI;;;;;;;;
;;;;Amlodoc;Amoxicillin Basics;;;;Aspirin Plus Stomach Guard;;;;;;;;;;;;;;;;;;;;;;Sekundal;;;;;;;;;;;;;;;;;;;;;;;;;;;Angiocine;;;;;;;;;;;;;;;;;;;;;;;Lemsip;;;;;;;;;;;;;;DURACET;;;;;;;;
;;;;Amloclair;Amoxicillin Billix;;;;Aspirin Quick;;;;;;;;;;;;;;;;;;;;;;Spondylon;;;;;;;;;;;;;;;;;;;;;;;;;;;Children's;;;;;;;;;;;;;;;;;;;;;;;Boots Max Strength Cold & Flu;;;;;;;;;;;;;;ELIFEN SEMI;;;;;;;;
;;;;Amlodipin Aaa;Amoxicillin Denk;;;;Aspirin Regular Strength;;;;;;;;;;;;;;;;;;;;;;Solvenerv N;;;;;;;;;;;;;;;;;;;;;;;;;;;Cal;;;;;;;;;;;;;;;;;;;;;;;Fenox;;;;;;;;;;;;;;HANTRACET SEMI;;;;;;;;
;;;;Amlodipin Aiwa;Amoxicillin Micro Labs;;;;Aspirin With Stomach Guard;;;;;;;;;;;;;;;;;;;;;;Toquizon;;;;;;;;;;;;;;;;;;;;;;;;;;;Buccoverso;;;;;;;;;;;;;;;;;;;;;;;Numark Flu Relief with Decongestant;;;;;;;;;;;;;;JENTRACET SEMI;;;;;;;;
;;;;Amlodipin Al;Amoxicillin Pb;;;;Astrin 5gr;;;;;;;;;;;;;;;;;;;;;;Tussoretard;;;;;;;;;;;;;;;;;;;;;;;;;;;Hush;;;;;;;;;;;;;;;;;;;;;;;Beechams Max Strength All in One Hot Lemon Menthol;;;;;;;;;;;;;;LANOPHEN;;;;;;;;
;;;;Amlodipin Aurobindo;Amoxicillin Plus Eup;;;;Asa Daily Low Dose;;;;;;;;;;;;;;;;;;;;;;Vivinox Schlaf;;;;;;;;;;;;;;;;;;;;;;;;;;;Lido King;;;;;;;;;;;;;;;;;;;;;;;Beechams Decongestant Plus with Paracetamol;;;;;;;;;;;;;;MEGACET SEMI;;;;;;;;
;;;;Amlodipin Besilat Heumann;Amoxiclav Accedo;;;;Asa Extra Strength;;;;;;;;;;;;;;;;;;;;;;Vivinox Sleep;;;;;;;;;;;;;;;;;;;;;;;;;;;Zionodil;;;;;;;;;;;;;;;;;;;;;;;Boots Max Strength sinus relief;;;;;;;;;;;;;;ORPHEN;;;;;;;;
;;;;Amlodipin Denk;Amoxiclav Awd;;;;Asa-325 Comprimes Retard;;;;;;;;;;;;;;;;;;;;;;Visanocor;;;;;;;;;;;;;;;;;;;;;;;;;;;Pro Pet Skin Relief;;;;;;;;;;;;;;;;;;;;;;;Sandol;;;;;;;;;;;;;;PENCURE;;;;;;;;
;;;;Amlodipin Dura;Amoxillat;;;;Asadol;;;;;;;;;;;;;;;;;;;;;;Verlapyrin;;;;;;;;;;;;;;;;;;;;;;;;;;;Ana-Lex;;;;;;;;;;;;;;;;;;;;;;;Mydrin;;;;;;;;;;;;;;SYNERJET ER SEMI;;;;;;;;
;;;;Amlodipin Hetero;Amoxiplus Ratiopharm;;;;Exact;;;;;;;;;;;;;;;;;;;;;;Vanamine;;;;;;;;;;;;;;;;;;;;;;;;;;;RectaGel;;;;;;;;;;;;;;;;;;;;;;;Ophmic;;;;;;;;;;;;;;TRADOL;;;;;;;;
;;;;Amlodipin Hexal;Amoxyliquid;;;;Entrophen;;;;;;;;;;;;;;;;;;;;;;Zzzquil;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidum;;;;;;;;;;;;;;;;;;;;;;;RectiCare Advance Cream;;;;;;;;;;;;;;TRAIM SEMI;;;;;;;;
;;;;Amlodipin Stada;Amoclanhexal Eup;;;;Extra Strength Asa;;;;;;;;;;;;;;;;;;;;;;Sebrx;;;;;;;;;;;;;;;;;;;;;;;;;;;Cutiecaine;;;;;;;;;;;;;;;;;;;;;;;Clear Eyes Pure Relief Multi-Symptom;;;;;;;;;;;;;;TRAMADOL HCL HUONS;;;;;;;;
